rut	monto	comercio	fecha
75	137350	retail	2013-05-21
96	88550	almacen	2011-02-07
116	99720	almacen	2011-09-22
163	38200	almacen	2013-10-01
178	36710	extranjero	2016-03-11
215	143600	extranjero	2012-10-02
207	142900	retail	2013-10-27
99	70550	almacen	2016-06-22
169	197170	retail	2014-02-18
24	82680	extranjero	2018-01-08
172	24250	extranjero	2014-10-08
85	173890	extranjero	2011-07-23
31	138610	almacen	2015-09-16
103	44880	extranjero	2017-10-11
95	171820	retail	2013-04-12
19	217850	extranjero	2012-08-23
124	141060	almacen	2015-02-16
84	54800	almacen	2017-03-01
100	95590	almacen	2017-02-22
156	96430	almacen	2016-08-01
203	27880	retail	2013-04-18
151	77650	extranjero	2015-10-11
212	175910	almacen	2011-01-22
176	42520	extranjero	2017-08-29
197	97420	extranjero	2016-07-20
49	44230	almacen	2013-04-25
194	92370	extranjero	2018-03-11
105	34400	extranjero	2016-08-20
151	51300	extranjero	2012-03-11
99	138020	extranjero	2012-02-08
31	26370	retail	2013-06-27
25	149740	extranjero	2011-08-05
53	91330	retail	2015-01-27
167	81750	retail	2014-03-24
74	33910	extranjero	2012-05-14
11	188230	extranjero	2014-01-20
19	90550	extranjero	2011-08-11
42	5190	retail	2016-07-15
207	10330	extranjero	2018-03-02
199	166650	almacen	2018-01-19
57	66240	extranjero	2017-03-14
19	108560	almacen	2014-01-25
28	157220	retail	2013-08-21
159	75800	retail	2013-09-24
196	54590	retail	2017-03-24
149	145540	almacen	2013-05-22
198	98280	retail	2015-10-27
101	87240	almacen	2017-02-01
50	6340	almacen	2018-11-01
3	128000	retail	2012-11-12
7	91520	retail	2015-11-03
184	143660	almacen	2018-06-04
212	247080	retail	2016-09-21
159	22040	almacen	2016-02-01
99	120650	extranjero	2011-09-02
132	201690	almacen	2013-10-07
57	142930	extranjero	2016-07-14
137	43710	extranjero	2011-08-05
123	131300	extranjero	2014-08-05
46	175840	almacen	2011-11-10
88	73980	retail	2018-11-21
95	19710	almacen	2011-05-28
149	92590	extranjero	2017-02-14
4	212100	almacen	2015-11-28
100	259130	retail	2012-02-15
22	172520	almacen	2018-06-01
181	104360	retail	2018-08-21
82	137140	retail	2013-10-15
111	92250	almacen	2013-11-28
176	56220	almacen	2018-09-16
51	49610	extranjero	2018-02-02
117	52820	retail	2011-05-18
18	187940	extranjero	2015-06-11
25	32850	extranjero	2012-05-02
187	50870	extranjero	2014-09-29
39	151050	extranjero	2015-04-05
31	150880	extranjero	2013-01-20
158	11210	retail	2015-10-03
110	105850	retail	2018-09-12
127	57540	retail	2012-11-24
61	129800	almacen	2012-06-22
132	162650	extranjero	2018-02-20
152	73610	extranjero	2017-02-23
133	68940	extranjero	2015-02-11
139	92700	almacen	2017-06-19
82	191850	almacen	2013-05-04
214	45910	extranjero	2017-09-14
124	126100	retail	2014-01-24
48	240320	retail	2012-03-18
123	75980	retail	2012-05-09
114	1230	extranjero	2017-04-20
26	49230	almacen	2018-11-19
16	166210	almacen	2018-02-10
30	144440	extranjero	2012-06-02
127	131800	retail	2017-01-12
180	164780	retail	2014-08-15
116	37260	extranjero	2012-11-20
122	109530	extranjero	2011-08-05
88	49950	extranjero	2017-01-02
186	43400	extranjero	2015-08-11
32	214800	retail	2013-05-12
211	60730	retail	2016-11-12
117	14440	almacen	2017-11-28
62	112390	almacen	2018-08-01
17	59590	almacen	2015-03-25
136	130120	retail	2015-06-15
146	54590	retail	2016-10-09
75	222520	almacen	2013-07-04
201	5380	retail	2014-09-03
210	100510	retail	2017-10-06
41	70050	extranjero	2013-02-14
9	196450	extranjero	2016-04-23
99	133850	almacen	2011-09-16
152	42560	extranjero	2016-06-20
31	205230	extranjero	2018-11-23
160	136490	retail	2015-06-21
205	139510	almacen	2012-05-07
161	81110	retail	2014-11-21
46	25320	extranjero	2013-08-11
18	122480	extranjero	2017-05-02
209	63700	almacen	2017-02-01
114	56600	extranjero	2012-02-23
114	43950	extranjero	2017-09-08
12	31300	retail	2014-02-18
195	83760	retail	2013-02-21
97	290800	extranjero	2013-03-14
58	107360	almacen	2017-09-19
195	160030	almacen	2017-07-25
99	51410	retail	2011-09-24
208	168220	extranjero	2016-05-05
31	2160	retail	2011-02-12
46	143950	almacen	2017-06-07
29	196800	extranjero	2016-02-23
107	16030	extranjero	2018-08-11
178	178130	extranjero	2011-11-14
24	36310	almacen	2012-05-07
99	30200	extranjero	2014-08-14
196	191590	retail	2013-11-06
88	142680	extranjero	2012-06-08
164	175170	retail	2013-05-12
103	78660	extranjero	2018-01-08
92	134330	almacen	2013-07-01
39	24670	extranjero	2014-06-05
21	157660	retail	2015-03-21
169	62480	extranjero	2012-03-17
126	147400	retail	2015-09-09
190	82960	extranjero	2016-06-14
29	74120	retail	2013-04-03
210	146520	extranjero	2013-05-29
48	132790	almacen	2016-09-19
131	106570	extranjero	2011-08-05
116	36280	almacen	2012-04-07
32	67140	retail	2015-11-18
28	53190	extranjero	2012-07-14
194	89020	retail	2018-06-27
202	130020	extranjero	2016-07-23
169	201450	retail	2018-10-12
193	150150	extranjero	2017-06-23
105	68580	retail	2016-04-24
207	98620	almacen	2012-08-22
124	1930	extranjero	2017-03-08
188	75710	extranjero	2011-05-02
131	137080	extranjero	2013-08-17
121	131080	retail	2012-04-24
118	83120	almacen	2017-10-28
200	27900	extranjero	2017-04-17
15	97700	extranjero	2013-05-05
72	71540	extranjero	2017-05-29
206	124390	retail	2014-01-06
177	117130	almacen	2012-07-04
5	82800	extranjero	2015-10-14
85	175920	extranjero	2012-07-29
171	70190	retail	2016-03-27
165	187760	almacen	2013-04-10
139	70700	extranjero	2015-01-08
114	10940	extranjero	2015-04-29
172	174820	almacen	2015-01-19
19	63920	retail	2014-03-27
9	145860	almacen	2011-02-10
141	210700	almacen	2012-02-07
173	200650	extranjero	2011-05-17
59	66940	extranjero	2018-06-20
201	117940	almacen	2016-06-19
96	120050	retail	2013-09-12
178	127740	retail	2017-04-18
179	111100	retail	2014-03-12
188	98970	retail	2017-07-15
112	80200	extranjero	2015-04-08
70	127570	extranjero	2016-01-08
94	88080	almacen	2018-03-16
68	59420	extranjero	2016-06-11
32	145470	extranjero	2016-01-02
33	108520	retail	2018-01-06
177	204140	retail	2017-04-24
38	152100	almacen	2014-10-22
5	206840	extranjero	2011-09-17
212	95870	retail	2017-04-21
94	72180	almacen	2011-09-25
57	184730	extranjero	2012-02-08
184	163240	almacen	2012-03-16
69	191910	almacen	2016-06-28
186	51260	almacen	2013-02-10
205	108320	extranjero	2016-07-05
27	108130	extranjero	2016-10-14
206	18560	extranjero	2013-04-11
30	91880	almacen	2011-07-10
212	87720	almacen	2017-07-10
129	233510	almacen	2017-06-28
2	153180	almacen	2018-07-07
122	59120	extranjero	2018-04-20
90	104010	almacen	2015-08-19
48	109730	extranjero	2015-01-02
157	35160	extranjero	2015-08-14
87	215790	retail	2015-05-15
2	177780	extranjero	2011-03-05
58	261040	almacen	2017-07-28
19	90480	almacen	2011-11-07
181	68050	almacen	2011-08-28
25	61120	extranjero	2011-06-02
117	218020	almacen	2011-07-28
165	118580	retail	2015-05-03
150	63130	almacen	2011-01-25
61	191640	almacen	2017-06-01
35	86950	retail	2017-11-06
162	110400	retail	2013-09-15
96	128000	almacen	2018-05-10
174	280	almacen	2013-03-04
52	155200	extranjero	2013-11-29
71	210630	retail	2016-09-21
159	41720	extranjero	2014-03-14
111	67120	almacen	2011-10-28
132	106000	retail	2018-08-12
65	76750	retail	2011-04-06
2	78890	retail	2012-05-09
12	59970	almacen	2014-10-01
32	112140	almacen	2013-07-16
41	79180	almacen	2014-05-22
165	107840	retail	2016-07-09
75	132300	almacen	2012-02-19
212	121050	extranjero	2012-04-08
118	127700	retail	2018-07-06
182	66300	almacen	2011-11-07
131	113620	almacen	2018-11-28
6	234920	almacen	2012-09-01
74	120980	retail	2018-11-12
123	112340	almacen	2014-04-28
103	117580	retail	2016-02-12
9	128700	retail	2017-01-12
13	118430	almacen	2013-02-10
71	73470	almacen	2012-11-19
184	85000	almacen	2016-06-22
78	34300	retail	2013-07-27
198	74400	extranjero	2018-09-14
204	189890	almacen	2017-02-19
88	72630	almacen	2012-08-19
128	121940	extranjero	2014-04-29
96	132000	almacen	2012-03-04
14	71130	extranjero	2018-01-08
110	42220	retail	2018-05-06
112	114380	retail	2018-02-06
89	189060	almacen	2011-01-25
159	128270	almacen	2015-05-16
214	33720	retail	2016-03-06
93	229430	retail	2016-06-27
192	165220	extranjero	2016-06-23
15	149890	almacen	2011-11-25
76	88560	almacen	2013-10-10
209	160410	retail	2014-06-15
159	105360	extranjero	2013-04-14
159	139980	retail	2013-02-27
65	165440	almacen	2013-01-04
174	99370	almacen	2014-10-04
157	9650	almacen	2012-02-22
68	130700	almacen	2011-10-10
63	158670	extranjero	2018-11-17
116	119960	extranjero	2014-06-17
87	166750	almacen	2011-04-01
194	162790	almacen	2016-06-04
87	61670	retail	2011-02-12
130	7440	almacen	2011-01-04
211	161020	retail	2013-08-12
135	176010	almacen	2014-10-22
92	182960	extranjero	2015-11-14
16	72200	almacen	2013-10-01
150	96700	extranjero	2016-02-05
185	171740	retail	2018-09-03
4	230720	extranjero	2018-05-11
9	132460	almacen	2011-08-19
169	73650	almacen	2017-10-01
116	83320	extranjero	2014-03-29
152	89490	extranjero	2017-04-02
213	149500	almacen	2016-11-16
7	220240	almacen	2012-02-19
133	233210	almacen	2012-10-10
122	50010	extranjero	2017-10-23
139	165970	almacen	2017-11-25
117	29580	extranjero	2015-06-23
119	50840	retail	2011-08-21
46	36330	retail	2012-03-24
55	59710	almacen	2016-08-07
37	94510	retail	2016-03-15
156	21710	retail	2014-07-15
21	123050	almacen	2011-10-19
184	86440	retail	2016-02-15
8	175520	extranjero	2012-02-08
173	243000	almacen	2014-01-28
135	171080	almacen	2015-11-22
78	203450	almacen	2017-01-28
49	118630	almacen	2015-06-19
198	61050	extranjero	2015-11-20
14	16400	extranjero	2013-09-17
173	172400	retail	2017-08-15
55	149330	almacen	2018-07-01
63	149810	almacen	2018-06-01
138	157130	retail	2013-06-24
141	6760	extranjero	2017-02-08
12	158520	extranjero	2011-10-17
154	69350	retail	2015-02-18
107	23030	retail	2016-02-03
7	35210	retail	2012-02-27
35	238530	retail	2018-04-24
58	48550	retail	2017-04-15
104	83210	almacen	2018-06-07
87	52150	almacen	2012-10-07
148	32930	retail	2014-01-21
92	206290	extranjero	2012-03-14
160	126910	extranjero	2017-09-29
166	133700	extranjero	2016-03-17
41	41080	almacen	2017-05-04
159	56110	retail	2013-09-06
72	82040	retail	2018-11-12
133	80260	retail	2011-10-12
127	17990	retail	2018-06-03
63	46370	retail	2017-10-06
1	95140	extranjero	2012-11-02
153	230630	extranjero	2017-05-11
60	46340	almacen	2011-01-19
78	48610	retail	2011-05-24
63	102910	retail	2011-04-09
2	4150	extranjero	2012-11-11
33	88810	extranjero	2014-04-11
54	121250	almacen	2014-09-01
115	182770	almacen	2018-01-10
54	167520	almacen	2017-02-16
77	95950	almacen	2015-07-04
122	102180	retail	2015-06-18
155	162480	almacen	2012-02-25
155	151010	extranjero	2014-03-11
118	99410	almacen	2018-04-22
86	129710	retail	2012-03-24
143	217480	almacen	2012-01-01
115	77610	extranjero	2017-02-02
199	177270	extranjero	2011-05-14
206	118810	extranjero	2011-03-02
173	25110	extranjero	2016-04-11
3	223500	retail	2011-09-21
57	176450	almacen	2018-01-22
55	102540	retail	2015-07-03
80	179600	retail	2017-01-15
207	84660	almacen	2014-11-16
216	25030	almacen	2013-08-01
63	137210	retail	2015-02-21
61	208130	retail	2017-06-09
140	119840	retail	2018-04-24
170	24680	extranjero	2018-07-08
18	199320	extranjero	2012-09-20
82	100030	extranjero	2018-09-17
40	72040	retail	2015-10-24
51	185970	extranjero	2017-10-05
72	219630	almacen	2018-01-28
89	139220	extranjero	2014-08-11
163	101100	almacen	2012-01-07
68	102780	retail	2016-04-09
127	65790	extranjero	2011-04-23
207	158790	retail	2015-04-12
53	154260	retail	2017-04-12
64	167910	extranjero	2014-01-08
216	99630	extranjero	2017-10-02
179	85120	extranjero	2011-05-11
194	89520	retail	2018-03-03
164	180880	almacen	2012-08-16
190	56930	retail	2018-06-27
22	18340	extranjero	2016-01-29
175	219460	retail	2018-08-09
5	105880	extranjero	2013-09-05
167	166050	almacen	2016-04-22
5	144940	retail	2016-05-21
127	106110	extranjero	2018-09-29
148	44560	retail	2018-04-09
62	130550	retail	2015-06-06
112	96360	almacen	2014-08-25
54	150390	extranjero	2011-03-02
37	120900	almacen	2018-02-07
120	68040	retail	2016-05-12
138	220720	retail	2012-07-24
77	60230	almacen	2017-09-22
165	105550	extranjero	2017-09-23
18	130620	extranjero	2011-02-14
157	156050	almacen	2013-03-10
183	76500	extranjero	2016-07-11
143	22090	almacen	2016-03-16
113	39030	retail	2016-02-12
143	139010	extranjero	2015-02-17
195	46940	almacen	2013-07-01
16	21560	extranjero	2012-03-23
98	66380	almacen	2011-09-25
149	41770	almacen	2018-06-19
173	9480	extranjero	2014-04-11
216	99580	almacen	2011-08-07
25	166030	extranjero	2015-09-29
182	51990	retail	2017-05-12
126	203040	retail	2017-05-03
39	68700	extranjero	2013-02-02
187	139430	retail	2012-11-21
110	52080	extranjero	2012-04-11
122	18690	extranjero	2015-04-05
1	161940	almacen	2016-01-10
83	141850	retail	2011-01-18
16	57870	extranjero	2018-08-20
135	53660	retail	2014-11-03
30	183060	almacen	2015-02-01
27	11540	retail	2017-03-12
102	39960	extranjero	2017-06-14
146	227220	almacen	2013-08-28
78	240220	extranjero	2013-01-14
188	110120	extranjero	2017-01-17
214	171220	almacen	2013-06-10
115	237920	retail	2017-08-09
84	98870	retail	2012-09-12
40	152600	retail	2017-10-15
72	99210	almacen	2012-05-04
186	58600	retail	2014-10-24
152	97930	retail	2018-10-21
158	118780	almacen	2016-04-04
158	24660	retail	2017-01-06
82	7770	retail	2012-07-24
152	3220	almacen	2011-05-01
213	53430	extranjero	2011-09-08
18	18680	retail	2018-10-12
116	110600	extranjero	2012-11-14
175	137860	almacen	2014-10-28
91	84740	almacen	2012-07-22
2	96920	extranjero	2012-03-11
162	42520	almacen	2014-10-10
40	61690	retail	2011-11-27
195	118730	extranjero	2017-06-11
27	116140	retail	2017-08-24
91	139170	extranjero	2015-01-17
163	89310	almacen	2012-01-25
202	120	retail	2018-05-27
43	149070	retail	2017-05-03
109	179990	retail	2011-07-03
102	102170	almacen	2011-04-10
143	119140	extranjero	2011-02-05
167	123600	retail	2017-11-15
102	186690	almacen	2017-04-28
175	31310	almacen	2018-02-25
117	16510	extranjero	2017-01-02
116	211070	extranjero	2015-01-02
179	72500	retail	2012-10-09
1	57600	almacen	2012-02-04
18	188750	retail	2012-09-18
173	39850	retail	2017-11-24
93	251260	almacen	2012-03-16
209	117860	almacen	2018-08-19
155	188830	almacen	2011-04-16
131	86230	almacen	2012-06-04
135	69720	almacen	2011-02-16
13	58190	extranjero	2011-06-17
121	124810	retail	2011-07-21
38	143570	extranjero	2014-08-17
54	87930	extranjero	2012-03-02
3	47900	retail	2012-04-18
129	113800	almacen	2015-10-07
69	89030	almacen	2013-02-10
44	52040	retail	2014-04-09
7	67860	extranjero	2016-02-17
137	155710	almacen	2011-01-10
184	94040	retail	2013-10-09
134	68290	extranjero	2017-02-05
100	94870	almacen	2016-10-10
154	138180	almacen	2013-02-28
146	167170	extranjero	2011-10-02
53	70210	extranjero	2018-09-29
54	47200	extranjero	2014-04-29
57	56270	almacen	2014-08-19
106	272820	retail	2012-08-09
204	173800	almacen	2012-06-28
39	240870	retail	2018-01-24
87	101830	almacen	2012-10-22
16	111580	retail	2014-05-24
182	177340	almacen	2014-11-07
28	108780	retail	2013-01-15
59	136920	almacen	2013-05-01
132	115350	retail	2015-07-12
43	88860	almacen	2013-07-16
127	130210	retail	2016-08-12
193	213810	retail	2012-03-15
87	107580	retail	2017-07-06
122	105620	extranjero	2012-05-23
178	35560	almacen	2012-07-07
211	140320	extranjero	2018-11-14
158	174300	almacen	2013-01-19
30	120480	retail	2016-01-24
32	36720	extranjero	2013-10-02
110	27130	almacen	2017-02-16
42	117850	extranjero	2015-04-23
192	117060	almacen	2012-01-04
130	110190	retail	2017-09-24
139	75420	almacen	2016-10-04
53	82700	extranjero	2018-09-11
104	182190	extranjero	2018-07-02
57	124140	extranjero	2014-04-29
59	108090	retail	2017-08-12
105	124050	almacen	2016-02-19
42	48140	extranjero	2012-10-11
204	90630	almacen	2016-01-01
8	10110	extranjero	2013-05-20
26	125610	extranjero	2012-04-02
112	161910	extranjero	2011-11-05
199	129610	retail	2013-03-09
44	37500	extranjero	2017-01-02
111	168240	extranjero	2014-01-11
185	16580	retail	2011-03-18
27	89730	almacen	2013-03-07
114	35740	almacen	2014-06-01
202	177700	retail	2012-11-15
211	124100	retail	2013-02-21
66	66800	retail	2014-02-15
114	169440	retail	2011-01-15
11	133760	almacen	2015-04-19
207	133350	extranjero	2016-06-20
143	176900	almacen	2016-10-16
90	122700	retail	2011-05-18
184	62250	retail	2014-09-03
89	113200	retail	2015-10-03
124	42610	extranjero	2012-09-29
121	25600	almacen	2011-10-07
204	136800	extranjero	2015-11-08
129	184580	extranjero	2015-02-23
81	140810	retail	2016-01-03
174	203650	retail	2013-03-12
147	16730	retail	2017-05-27
3	55020	extranjero	2016-01-23
140	22150	almacen	2018-08-28
25	40980	retail	2016-10-03
32	209070	almacen	2017-03-22
172	78710	almacen	2016-03-25
12	171480	extranjero	2015-06-08
122	108440	almacen	2018-02-01
90	126540	retail	2015-03-18
112	188550	almacen	2015-06-19
185	136000	retail	2012-05-24
103	156140	almacen	2016-10-25
185	125640	retail	2018-11-27
153	107260	extranjero	2012-08-02
190	38160	extranjero	2011-08-20
214	138180	retail	2011-02-06
4	53960	almacen	2016-03-22
147	82090	almacen	2013-06-19
119	114510	almacen	2018-01-01
29	313630	almacen	2012-07-16
49	1190	retail	2012-10-18
141	164240	retail	2014-09-06
106	36310	retail	2013-03-24
79	160010	retail	2017-03-24
119	20710	extranjero	2012-09-05
118	72270	retail	2017-07-15
46	56830	almacen	2014-07-04
157	160500	almacen	2016-05-19
191	74830	almacen	2015-11-01
157	221920	retail	2016-08-09
159	98250	retail	2018-05-15
211	150060	almacen	2017-06-01
61	79080	almacen	2011-07-07
170	101980	almacen	2013-03-28
85	243120	almacen	2015-10-01
196	130220	extranjero	2015-09-08
128	147940	retail	2014-11-09
202	148360	retail	2012-03-27
71	60900	almacen	2016-05-25
204	60530	retail	2012-08-27
113	53510	extranjero	2017-05-02
202	118550	extranjero	2015-11-20
23	160560	almacen	2018-11-22
195	32960	extranjero	2017-03-23
14	160220	retail	2011-08-21
68	145540	extranjero	2012-04-14
140	109820	almacen	2016-06-16
181	37450	almacen	2012-04-10
98	158540	extranjero	2014-04-14
77	24710	extranjero	2011-06-11
164	168540	retail	2013-02-15
71	72540	retail	2018-07-24
124	120290	almacen	2017-07-01
38	105710	extranjero	2016-09-23
123	183290	retail	2017-05-12
108	71830	almacen	2018-07-28
5	109780	almacen	2015-02-22
81	183790	almacen	2017-07-25
142	94570	extranjero	2017-01-08
72	77650	extranjero	2018-08-23
126	146590	retail	2013-06-15
74	136180	almacen	2018-06-04
7	145400	almacen	2018-09-25
160	138400	retail	2014-05-15
131	117820	extranjero	2017-02-05
161	37860	almacen	2018-07-07
34	163720	almacen	2016-02-22
188	76420	almacen	2012-09-04
18	151460	extranjero	2015-02-20
26	211230	almacen	2014-01-28
201	14470	retail	2017-08-24
72	226500	almacen	2015-08-07
23	191070	retail	2016-02-15
98	110000	almacen	2015-04-25
48	67890	almacen	2014-08-04
35	172620	retail	2016-04-24
146	185680	extranjero	2014-05-11
213	2840	almacen	2017-04-25
94	247590	almacen	2017-03-19
103	32700	retail	2018-05-09
29	70780	extranjero	2017-05-11
10	111710	extranjero	2011-04-20
19	166530	retail	2014-02-15
75	231500	almacen	2011-02-07
74	47220	almacen	2014-08-28
24	39450	almacen	2012-11-28
167	49380	retail	2013-06-24
209	113540	retail	2015-04-03
154	65320	almacen	2011-03-10
175	169100	almacen	2018-06-07
119	188420	extranjero	2014-10-14
129	124040	extranjero	2017-02-08
158	77840	extranjero	2011-10-11
198	66220	retail	2016-01-09
22	21430	retail	2016-04-27
148	86590	almacen	2015-11-07
24	107990	retail	2014-07-21
59	260300	almacen	2013-07-22
136	9520	extranjero	2015-03-05
65	85310	extranjero	2013-01-02
175	13410	retail	2017-06-06
167	40360	retail	2018-03-27
129	91650	retail	2013-04-06
26	58840	retail	2011-10-24
141	55320	almacen	2014-01-22
102	136150	extranjero	2011-06-23
167	216610	retail	2015-02-18
5	97690	retail	2017-09-03
71	159910	almacen	2015-10-25
148	23840	almacen	2015-02-07
165	148320	retail	2014-11-06
52	116910	retail	2012-03-06
162	95110	extranjero	2015-10-02
72	162110	almacen	2011-09-16
66	1950	extranjero	2017-01-14
98	132500	retail	2013-11-21
197	48810	almacen	2012-01-28
90	98280	retail	2013-01-27
101	202360	almacen	2018-09-22
43	50220	extranjero	2013-08-14
27	124510	almacen	2013-05-25
140	167870	retail	2011-05-21
69	105220	retail	2013-04-06
59	117370	extranjero	2013-04-05
99	66350	extranjero	2017-10-23
7	136290	extranjero	2016-01-11
110	152730	extranjero	2017-08-05
117	283100	extranjero	2017-07-17
10	116280	extranjero	2011-05-20
52	17230	retail	2016-09-18
153	103070	almacen	2015-03-01
150	55880	extranjero	2013-05-23
31	70760	almacen	2012-01-19
130	21770	extranjero	2017-07-23
153	59530	almacen	2014-10-28
146	36790	almacen	2012-05-10
213	111650	retail	2017-09-27
73	125100	extranjero	2017-10-20
151	62780	retail	2012-05-03
29	55810	retail	2017-04-27
129	116270	almacen	2011-08-25
120	140850	almacen	2013-09-28
53	213490	almacen	2016-05-22
3	197870	extranjero	2015-01-20
82	56580	extranjero	2016-09-17
118	91410	extranjero	2015-07-23
18	98500	retail	2013-02-06
211	75820	extranjero	2018-09-29
158	65670	retail	2016-08-06
157	186060	retail	2012-01-15
62	100700	retail	2011-11-27
14	39960	extranjero	2016-03-23
181	89990	retail	2011-06-06
21	217910	extranjero	2013-02-23
88	121780	extranjero	2018-05-08
25	2610	extranjero	2015-03-20
25	126490	extranjero	2014-05-02
27	94730	almacen	2016-02-07
108	64080	almacen	2017-10-25
211	36790	retail	2011-08-15
87	65130	almacen	2015-07-22
39	60380	almacen	2018-10-22
31	59420	almacen	2014-09-04
114	127720	retail	2016-05-27
110	154870	almacen	2013-07-25
185	30040	almacen	2013-09-22
154	97370	almacen	2011-05-07
70	119250	retail	2011-05-06
184	126270	extranjero	2011-04-02
39	145500	almacen	2016-02-07
12	2720	almacen	2013-06-16
47	48130	retail	2011-01-21
197	154310	extranjero	2016-01-08
186	100290	retail	2015-10-15
29	21050	retail	2015-03-18
6	138650	extranjero	2012-03-23
37	169470	retail	2011-05-15
37	38260	extranjero	2014-03-17
25	44960	retail	2013-05-18
16	183710	extranjero	2018-11-08
52	127800	extranjero	2017-05-17
135	45780	extranjero	2014-01-05
191	147220	extranjero	2013-04-23
140	160050	extranjero	2014-09-29
194	182770	almacen	2014-07-04
206	85530	retail	2015-04-15
162	177580	almacen	2015-02-28
64	139520	extranjero	2015-01-23
111	134150	retail	2015-11-18
114	179450	almacen	2012-05-19
15	214490	retail	2016-01-15
137	192990	almacen	2013-06-04
78	110500	almacen	2018-05-16
32	88720	extranjero	2011-04-05
216	7030	extranjero	2016-03-20
149	54510	almacen	2015-10-25
206	95300	retail	2016-06-03
206	88520	extranjero	2017-02-08
87	47930	almacen	2011-11-10
177	87610	retail	2014-10-21
74	59560	extranjero	2018-01-23
208	160670	retail	2014-05-27
94	17470	retail	2016-10-06
53	93000	extranjero	2011-10-17
33	20070	retail	2016-09-15
38	30340	almacen	2014-02-28
108	31710	almacen	2017-01-28
74	38670	almacen	2011-11-04
117	89370	retail	2018-04-09
193	51320	extranjero	2017-07-05
127	150050	almacen	2017-05-19
37	158370	retail	2013-06-09
174	76090	extranjero	2016-06-05
30	306520	almacen	2015-08-04
5	145990	retail	2012-02-12
33	76510	extranjero	2014-07-02
109	217400	retail	2012-03-12
108	61770	almacen	2013-05-10
6	40820	retail	2013-03-06
87	225990	retail	2014-01-21
164	78030	extranjero	2013-03-17
128	144400	almacen	2018-08-28
193	3520	extranjero	2012-11-17
159	77310	extranjero	2015-06-05
58	134240	extranjero	2012-03-17
73	168950	almacen	2018-05-28
206	75380	extranjero	2011-09-05
63	257980	extranjero	2013-09-08
3	74120	retail	2015-02-15
123	117540	retail	2013-04-18
6	189300	almacen	2016-04-16
10	39010	extranjero	2013-01-02
178	204940	extranjero	2016-06-08
10	20750	retail	2015-01-18
214	168300	retail	2018-07-09
215	107330	extranjero	2018-01-02
53	33490	almacen	2018-04-22
166	108120	extranjero	2013-09-17
163	126050	almacen	2015-08-01
172	40560	almacen	2015-06-04
39	148680	extranjero	2014-04-08
96	51660	almacen	2013-10-01
138	77710	retail	2017-08-09
49	126750	almacen	2017-04-16
84	42200	extranjero	2015-09-23
71	32400	almacen	2013-01-10
5	171430	retail	2016-10-27
96	126060	retail	2017-01-24
18	129360	almacen	2018-01-19
